date,ticker,delta_weight
2022-02-01,BCBP,0.0025
2022-02-01,BCH,0.0025
2022-02-01,BCPC,0.0025
2022-02-01,BCRX,0.0025
2022-02-01,BCS,0.0025
2022-02-01,BDN,0.0025
2022-02-01,BDX,0.0025
2022-02-01,BF-A,0.0025
2022-02-01,BF-B,0.0025
2022-02-01,BFH,0.0025
2022-02-01,BFIN,0.0025
2022-02-01,BFS,0.0025
2022-02-01,BG,0.0025
2022-02-01,BGC,0.0025
2022-02-01,BGS,0.0025
2022-02-01,BHC,0.0025
2022-02-01,BIIB,0.0025
2022-02-01,BIO,0.0025
2022-02-01,BK,0.0025
2022-02-01,BKD,0.0025
2022-02-01,BLK,0.0025
2022-02-01,BLX,0.0025
2022-02-01,BMA,0.0025
2022-02-01,BMI,0.0025
2022-02-01,BMRN,0.0025
2022-02-01,BMY,0.0025
2022-02-01,BOOM,0.0025
2022-02-01,BRKR,0.0025
2022-02-01,BSX,0.0025
2022-02-01,BTI,0.0025
2022-02-01,BUD,0.0025
2022-02-01,CAG,0.0025
2022-02-01,CALM,0.0025
2022-02-01,CAMT,0.0025
2022-02-01,CASI,0.0025
2022-02-01,CBT,0.0025
2022-02-01,CCEP,0.0025
2022-02-01,CCM,0.0025
2022-02-01,CCU,0.0025
2022-02-01,CDXS,0.0025
2022-02-01,CE,0.0025
2022-02-01,CERS,0.0025
2022-02-01,CF,0.0025
2022-02-01,CGNX,0.0025
2022-02-01,CHD,0.0025
2022-02-01,CHE,0.0025
2022-02-01,CL,0.0025
2022-02-01,CLDX,0.0025
2022-02-01,CLRB,0.0025
2022-02-01,CLW,0.0025
2022-02-01,CLX,0.0025
2022-02-01,CMC,0.0025
2022-02-01,CNMD,0.0025
2022-02-01,COHR,0.0025
2022-02-01,COHU,0.0025
2022-02-01,COKE,0.0025
2022-02-01,COO,0.0025
2022-02-01,CPB,0.0025
2022-02-01,CRH,0.0025
2022-02-01,CRIS,0.0025
2022-02-01,CROX,0.0025
2022-02-01,CRS,0.0025
2022-02-01,CSL,0.0025
2022-02-01,CTSO,0.0025
2022-02-01,CVCO,0.0025
2022-02-01,CYH,0.0025
2022-02-01,CYTK,0.0025
2022-02-01,DAIO,0.0025
2022-02-01,DD,0.0025
2022-02-01,DECK,0.0025
2022-02-01,DEO,0.0025
2022-02-01,DGX,0.0025
2022-02-01,DHR,0.0025
2022-02-01,DSWL,0.0025
2022-02-01,DVA,0.0025
2022-02-01,DVAX,0.0025
2022-02-01,EBS,0.0025
2022-02-01,ECL,0.0025
2022-02-01,EHC,0.0025
2022-02-01,ENOV,0.0025
2022-02-01,ENTG,0.0025
2022-02-01,EPC,0.0025
2022-02-01,EW,0.0025
2022-02-01,EXEL,0.0025
2022-02-01,EYPT,0.0025
2022-02-01,FARM,0.0025
2022-02-01,FDP,0.0025
2022-02-01,FEIM,0.0025
2022-02-01,FIZZ,0.0025
2022-02-01,FMC,0.0025
2022-02-01,FMS,0.0025
2022-02-01,FMX,0.0025
2022-02-01,FOLD,0.0025
2022-02-01,FONR,0.0025
2022-02-01,FOSL,0.0025
2022-02-01,FRD,0.0025
2022-02-01,FTK,0.0025
2022-02-01,FUL,0.0025
2022-02-01,FWDI,0.0025
2022-02-01,GERN,0.0025
2022-02-01,GEVO,0.0025
2022-02-01,GGB,0.0025
2022-02-01,GILD,0.0025
2022-02-01,GIS,0.0025
2022-02-01,GLW,0.0025
2022-02-01,GRFS,0.0025
2022-02-01,GT,0.0025
2022-02-01,HAE,0.0025
2022-02-01,HAIN,0.0025
2022-02-01,HALO,0.0025
2022-02-01,HCSG,0.0025
2022-02-01,HRL,0.0025
2022-02-01,HSY,0.0025
2022-02-01,HUN,0.0025
2022-02-01,HURC,0.0025
2022-02-01,HXL,0.0025
2022-02-01,IBIO,0.0025
2022-02-01,ICCC,0.0025
2022-02-01,ICUI,0.0025
2022-02-01,IDXX,0.0025
2022-02-01,IFF,0.0025
2022-02-01,IIIN,0.0025
2022-02-01,ILMN,0.0025
2022-02-01,IMAX,0.0025
2022-02-01,IMKTA,0.0025
2022-02-01,IMNN,0.0025
2022-02-01,INGR,0.0025
2022-02-01,INO,0.0025
2022-02-01,INSM,0.0025
2022-02-01,INVA,0.0025
2022-02-01,IONS,0.0025
2022-02-01,IOSP,0.0025
2022-02-01,IP,0.0025
2022-02-01,IPAR,0.0025
2022-02-01,IRD,0.0025
2022-02-01,IRWD,0.0025
2022-02-01,ISRG,0.0025
2022-02-01,ITGR,0.0025
2022-02-01,ITRI,0.0025
2022-02-01,JAZZ,0.0025
2022-02-01,JBSS,0.0025
2022-02-01,JHX,0.0025
2022-02-01,JJSF,0.0025
2022-02-01,JNJ,0.0025
2022-02-01,KALU,0.0025
2022-02-01,KDP,0.0025
2022-02-01,KEQU,0.0025
2022-02-01,KLAC,0.0025
2022-02-01,KMB,0.0025
2022-02-01,KO,0.0025
2022-02-01,KOP,0.0025
2022-02-01,KR,0.0025
2022-02-01,KRO,0.0025
2022-02-01,LAB,0.0025
2022-02-01,LAKE,0.0025
2022-02-01,LDWY,0.0025
2022-02-01,LGND,0.0025
2022-02-01,LHX,0.0025
2022-02-01,LITS,0.0025
2022-02-01,LLY,0.0025
2022-02-01,LMAT,0.0025
2022-02-01,LPX,0.0025
2022-02-01,LSTA,0.0025
2022-02-01,LTBR,0.0025
