date,equity
2015-09-28,2.8468065488640106
2015-09-29,2.804624031790365
2015-09-30,2.9901579925640975
2015-10-01,3.031998077663621
2015-10-02,3.18941101450855
2015-10-05,3.3348199935946994
2015-10-06,3.2871511079637314
2015-10-07,3.339964518886164
2015-10-08,3.380775738174611
2015-10-09,3.421929193201093
2015-10-12,3.4507370434390245
2015-10-13,3.3831757055347964
2015-10-14,3.36877197665192
2015-10-15,3.5333865817022003
2015-10-16,3.577284594659959
2015-10-19,3.6414153332681334
2015-10-20,3.5810574296940505
2015-10-21,3.5234425141625407
2015-10-22,3.7322973679086173
2015-10-23,4.042663580255258
2015-10-26,4.054667341777949
2015-10-27,4.081074832183519
2015-10-28,4.175728524441563
2015-10-29,4.160295733511522
2015-10-30,4.1033652894560815
2015-11-02,4.243287899984909
2015-11-03,4.283756883535321
2015-11-04,4.285470417058554
2015-11-05,4.247747168855952
2015-11-06,4.261807092112087
2015-11-09,4.124628647042364
2015-11-10,4.095478561066397
2015-11-11,4.07730199714943
2015-11-12,3.9589849799449195
2015-11-13,3.726124173042165
2015-11-16,3.881479574501033
2015-11-17,3.8948542413367466
2015-11-18,4.1181132164378775
2015-11-19,4.124286411304329
2015-11-20,4.206249515730551
2015-11-23,4.172297925145509
2015-11-24,4.159267063936536
2015-11-25,4.168526267527948
2015-11-27,4.1836148603590715
2015-11-30,4.157209332314385
2015-12-01,4.280670089866007
2015-12-02,4.202820486323202
2015-12-03,3.9884788715476267
2015-12-04,4.262493525949039
2015-12-07,4.2103649789748525
2015-12-08,4.21070917707377
2015-12-09,4.014542556326454
2015-12-10,4.071471038021013
2015-12-11,3.7923126432724885
2015-12-14,3.877364111256732
2015-12-15,3.9432099532768436
2015-12-16,4.117426782600924
2015-12-17,3.9459525488472402
2015-12-18,3.7292109667114794
2015-12-21,3.839981528903457
2015-12-22,3.912686999626973
2015-12-23,4.002196559065729
2015-12-24,3.993965632577126
2015-12-28,3.992936963002139
2015-12-29,4.175042090604611
2015-12-30,4.068384636823875
2015-12-31,3.9174888967082264
2016-01-04,3.6781110893122793
2016-01-05,3.6451881683022234
2016-01-06,3.547448074847042
2016-01-07,3.2099879382578798
2016-01-08,3.134195870101137
2016-01-11,3.161632226317782
2016-01-12,3.26828948386243
2016-01-13,2.926369882166136
2016-01-14,3.1156766779739584
2016-01-15,2.829316222547907
2016-01-19,2.8413199840705996
2016-01-20,2.815598927501982
2016-01-21,2.8258873893766467
2016-01-22,3.0693788938921
2016-01-25,2.9311715830113014
2016-01-26,3.0148501833216397
2016-01-27,2.7905625386455224
2016-01-28,2.9006488255975187
2016-01-29,3.089613385667306
2016-02-01,3.1071037119834104
2016-02-02,2.9099082254250197
2016-02-03,2.8687545741624496
2016-02-04,2.863610441343161
2016-02-05,2.569019059428508
2016-02-08,2.451731104271161
2016-02-09,2.4232658822434407
2016-02-10,2.4520735362452837
2016-02-11,2.4462445394777497
2016-02-12,2.5505000635374175
2016-02-16,2.720258997643074
2016-02-17,2.908194691901787
2016-02-18,2.8094257326355305
2016-02-19,2.838575818611497
2016-02-22,2.972667666247994
2016-02-23,2.824514325466654
2016-02-24,2.90853712387591
2016-02-25,2.988786694778899
2016-02-26,2.9819272623115842
2016-02-29,2.903050559082499
2016-03-01,3.180837852281913
2016-03-02,3.184266881689262
2016-03-03,3.166434123399035
2016-03-04,3.1719206881924467
2016-03-07,3.11293427863965
2016-03-08,3.03062697611451
2016-03-09,3.0885845198562305
2016-03-10,3.0769247601963685
2016-03-11,3.2363954286634486
2016-03-14,3.2552568565286624
2016-03-15,3.2531993211426005
2016-03-16,3.336193253740781
2016-03-17,3.3265894595782735
2016-03-18,3.3457950855424032
2016-03-21,3.385577635255865
2016-03-22,3.415756390806818
2016-03-23,3.3344777578566642
2016-03-24,3.3334490882816783
2016-03-28,3.3214453267589854
2016-03-29,3.4802309350417318
2016-03-30,3.532357912127212
2016-03-31,3.511780988377883
2016-04-01,3.6287267077971936
2016-04-04,3.583800025264447
2016-04-05,3.4874327994831704
2016-04-06,3.6544477643658113
2016-04-07,3.4966923955467597
2016-04-08,3.488461861530334
2016-04-11,3.4510792791770593
2016-04-12,3.531673048178966
2016-04-13,3.6695379270856416
2016-04-14,3.6719378944458274
2016-04-15,3.643816870517024
2016-04-18,3.697658951014445
2016-04-19,3.6338708406164835
