Date,E03_Baseline,E40_SameDay
2014-03-18,2.7270552204208065,4.596864755115816
2014-03-19,2.6821629916371457,4.521192101797721
2014-03-20,2.703193189885185,4.556641687268378
2014-03-21,2.604107188998194,4.389617220073138
2014-03-24,2.538590452617044,4.279178834342815
2014-03-25,2.5620487324454535,4.318721319200243
2014-03-26,2.4645796743306496,4.154422454033464
2014-03-27,2.42090185007655,4.080796863546583
2014-03-28,2.436674801878726,4.107384563597767
2014-03-31,2.4852058793785594,4.18919104775556
2014-04-01,2.6198801408003702,4.416204920124322
2014-04-02,2.6405061033553627,4.450973105087864
2014-04-03,2.5782247074760907,4.3459883759657805
2014-04-04,2.373583479655857,4.0010345809101375
2014-04-07,2.3024059886145487,3.881054135528884
2014-04-08,2.366709775423641,3.9894479109793073
2014-04-09,2.4880381966519773,4.1939653476494465
2014-04-10,2.258322473709898,3.8067446919835715
2014-04-11,2.179459412149439,3.673809053037521
2014-04-14,2.228395695313989,3.7562985727366396
2014-04-15,2.2506381156553337,3.793791542211538
2014-04-16,2.3379954616139544,3.9410455844951695
2014-04-17,2.3392081686930943,3.9430897860165155
2014-04-21,2.3921889912243666,4.032396989613761
2014-04-22,2.450830083429963,4.131245435344833
2014-04-23,2.3840996699980037,4.018761213058954
2014-04-24,2.4544706295965564,4.137382127494398
2014-04-25,2.3359723432053823,3.9376353118911718
2014-04-28,2.361046838327227,3.979902172501404
2014-04-29,2.413218219500737,4.067844940050208
2014-04-30,2.4346543508922434,4.103978787337849
2014-05-01,2.4564932630192935,4.14079158258129
2014-05-02,2.444359887412042,4.12033893964546
2014-05-05,2.479140161546603,4.178966361321857
2014-05-06,2.383290228640241,4.0173967770105135
2014-05-07,2.3618572496566586,3.9812682435840556
2014-05-08,2.3537676859373784,3.967632058270696
2014-05-09,2.3812690501750073,4.013989774474936
2014-05-12,2.4973385275070594,4.209642464415733
2014-05-13,2.502597471403343,4.2185072111450745
2014-05-14,2.4653893581813295,4.15578729884046
2014-05-15,2.408365451240838,4.059664863896403
2014-05-16,2.4532569525457473,4.135336290938842
2014-05-19,2.5058313569477173,4.223958415201998
2014-05-20,2.478331690160509,4.177603560307626
2014-05-21,2.548296474122677,4.295539804167533
2014-05-22,2.5798421352341117,4.3487147955113485
2014-05-23,2.6376759685182005,4.446202484020953
2014-05-27,2.736760999433523,4.613225316181983
2014-05-28,2.710876577968081,4.569593202006204
2014-05-29,2.7658800339220906,4.662309860690343
2014-05-30,2.7634534072992234,4.658219413854887
2014-06-02,2.7565777631236696,4.646629473855636
2014-06-03,2.7525339512356988,4.639813016233167
2014-06-04,2.7816525007384323,4.688896743224421
2014-06-05,2.8540443963093014,4.810924251436889
2014-06-06,2.9001486046933507,4.888639880000674
2014-06-09,2.894891600740405,4.879778403339753
2014-06-10,2.91147423639326,4.90773094819793
2014-06-11,2.9070242488689044,4.900229819999924
2014-06-12,2.830991322145607,4.772064802120787
2014-06-13,2.850403850142708,4.804787559287325
2014-06-16,2.8609193130061032,4.822512965160482
2014-06-17,2.8649636098799087,4.829330240300057
2014-06-18,2.9171342635746673,4.917271781573204
2014-06-19,2.9058115417897645,4.898185618478578
2014-06-20,2.9163272471460777,4.915911433110289
2014-06-23,2.9195606477046177,4.921361819650108
2014-06-24,2.9114742363932615,4.907730948197932
2014-06-25,2.964947077053623,4.997867522898319
2014-06-26,2.973037125758738,5.011504525728784
2014-06-27,3.002565245798697,5.061278645915309
2014-06-30,3.0248130009842216,5.098780608078365
2014-07-01,3.12633969308328,5.269919230105109
2014-07-02,3.1384752511267866,5.290375551867911
2014-07-03,3.198745168257515,5.391969628796521
2014-07-07,3.1680040986454983,5.340150898330096
2014-07-08,3.0575776739906453,5.154010428665893
2014-07-09,3.126746111212582,5.270604309439198
2014-07-10,3.0972167787080367,5.22082814545991
2014-07-11,3.151015529849175,5.311514091654936
2014-07-14,3.2112844770082347,5.413106533549335
2014-07-15,3.1777120600944695,5.3565151382232346
2014-07-16,3.213711103631102,5.417196980384792
2014-07-17,3.0854876387938326,5.201056903031198
2014-07-18,3.2315095987710225,5.4471990406255
2014-07-21,3.219778033927645,5.42742371061126
2014-07-22,3.283689467196636,5.535156114723644
2014-07-23,3.3451725763923394,5.638795210690705
2014-07-24,3.3334424665064657,5.619022333227781
2014-07-25,3.292587744794927,5.5501555098097874
2014-07-28,3.2966337391191534,5.55697564625923
2014-07-29,3.280048678537125,5.529019013815526
2014-07-30,3.319284760026056,5.59515737389519
2014-07-31,3.11703839225653,5.254240478304617
2014-08-01,3.081037651269477,5.193555774833192
2014-08-04,3.144138673209036,5.299922107862924
2014-08-05,3.070519520983992,5.175825872615957
2014-08-06,3.0652620320452115,5.16696357843793
2014-08-07,3.035734881976921,5.117191093285615
2014-08-08,3.1004528466886674,5.2262830283438095
2014-08-11,3.1566774969739213,5.321058195098634
2014-08-12,3.1493964046407346,5.308784810799505
2014-08-13,3.2517347205338107,5.481291547701664
2014-08-14,3.3018914705508524,5.56583834919581
2014-08-15,3.3467904891361964,5.641522447753378
2014-08-18,3.427689763722759,5.777890432265265
2014-08-19,3.4867455188168432,5.877437855121212
2014-08-20,3.4867455188168432,5.877437855121212
2014-08-21,3.506566647379501,5.910849370448812
2014-08-22,3.5203191481951945,5.934031294240076
2014-08-25,3.559554259712456,6.000168019285529
2014-08-26,3.5716898177559626,6.0206243410483316
2014-08-27,3.5720950234206783,6.021307376589657
2014-08-28,3.5575333237401394,5.996761425508505
2014-08-29,3.599195304373185,6.066989006147965
2014-09-02,3.629128387584943,6.1174457531172655
2014-09-03,3.5668348670598085,6.012440586067553
2014-09-04,3.5555099628386504,5.993350744145955
2014-09-05,3.61052045108726,6.086079256828117
2014-09-08,3.6287231819202272,6.11676271757594
2014-09-09,3.5405445124508987,5.968124210074791
2014-09-10,3.6226555241449323,6.106534761073814
2014-09-11,3.6198246618290186,6.101762913731243
2014-09-12,3.562791297664754,6.005624537203635
2014-09-15,3.455600213511779,5.824937724147672
2014-09-16,3.54903879684906,5.982442613412371
2014-09-17,3.5664313588455125,6.011760411836095
2014-09-18,3.6432848816007657,6.141308668657091
2014-09-19,3.6351965303460716,6.127674527136494
2014-09-22,3.536498275633755,5.961303664866795
2014-09-23,3.5057569635288206,5.909484525641818
2014-09-24,3.6194211536147236,6.101082739499786
2014-09-25,3.389666389312968,5.713796273706948
2014-09-26,3.498072362981339,5.896530967111231
2014-09-29,3.4863407981379613,5.876755637096991
2014-09-30,3.4992857975392306,5.898576394908234
2014-10-01,3.3318250387484443,5.6162959136822135
2014-10-02,3.3302054285541676,5.6135658153096735
2014-10-03,3.430521596010341,5.782663914642044
2014-10-06,3.4070606487598414,5.743116933440538
2014-10-07,3.26306035223372,5.500382615898919
2014-10-08,3.4515542191875523,5.818117587698228
2014-10-09,3.2796449278299136,5.528338430825516
2014-10-10,3.0341152717826443,5.114460994913074
2014-10-13,2.8921383361580117,4.875137358734005
2014-10-14,2.89739776504013,4.884002922980451
2014-10-15,2.8355094501797113,4.779680791472065
2014-10-16,2.7914184179946266,4.767946867253696
2014-10-17,2.7998274889267107,4.7866013277611605
2014-10-20,2.8118920525768067,4.988549867062923
2014-10-21,3.0292746638540597,5.378695901629281
2014-10-22,2.98232541794864,5.295334125442639
2014-10-23,3.1186707783531413,5.537425157980714
2014-10-24,3.190410683430254,5.664804539594995
2014-10-27,3.2024309837881573,5.686147450834727
2014-10-28,3.345537453528135,5.940243321199863
2014-10-29,3.3053468400314383,5.86888198487798
2014-10-30,3.3260064357291874,5.9055645888144035
2014-10-31,3.4631023049398952,6.148988203930164
2014-11-03,3.498785136921009,6.212345648676083
2014-11-04,3.461600386626846,6.146321439515774
2014-11-05,3.4612252448113225,6.1456553481343095
2014-11-06,3.490897701438325,6.1983409374456055
