name,cost_bps,tax_mode,tax_rate,CAGR,MDD,Sharpe,Sortino,Calmar,WorstYear,WorstMonth,MaxTUW,MedianTUW,TradesPerYear,AnnualTurnover,FinalValue,NumDays
V3_B2_MA200Guard,10,TaxB,0.0,0.353831845973013,-0.5163784970318644,0.9033480381233295,0.9167611738087448,0.6852180096708769,-0.3501504966912179,-0.34073442146329314,601,3.0,6.117117117117117,3.298198198198198,121.96652511500503,3996
V3_B2_MA200Guard,10,TaxB,0.1,0.31648462957031076,-0.5186546855321716,0.8409451764245822,0.8295398365872265,0.6102029701044309,-0.3501504966912179,-0.340734421463293,602,3.5,6.117117117117117,3.298198198198198,78.26963127090853,3996
V3_B2_MA200Guard,10,TaxB,0.2,0.28015722209656446,-0.5209202538335497,0.7785012718923807,0.7342343072186419,0.537812112381569,-0.3501504966912179,-0.340734421463293,621,3.5,6.117117117117117,3.298198198198198,50.22149543548318,3996
V3_B2_MA200Guard,10,TaxB,0.25,0.2623673044694681,-0.5220490707679897,0.7472653992385137,0.6876572161530651,0.502572112777632,-0.3501504966912179,-0.3407344214632929,622,4.0,6.117117117117117,3.298198198198198,40.22691223346347,3996
V3_B2_MA200Guard,15,Tax0,0.0,0.3515954262763439,-0.5189723810286861,0.8996411377399116,0.911176162479867,0.6774838876385398,-0.3535083500683762,-0.3416579757660053,601,3.0,6.117117117117117,3.298198198198198,118.81055592624419,3996
V3_B2_MA200Guard,15,Tax0,0.1,0.3515954262763439,-0.5189723810286861,0.8996411377399116,0.911176162479867,0.6774838876385398,-0.3535083500683762,-0.3416579757660053,601,3.0,6.117117117117117,3.298198198198198,118.81055592624419,3996
V3_B2_MA200Guard,15,Tax0,0.2,0.3515954262763439,-0.5189723810286861,0.8996411377399116,0.911176162479867,0.6774838876385398,-0.3535083500683762,-0.3416579757660053,601,3.0,6.117117117117117,3.298198198198198,118.81055592624419,3996
V3_B2_MA200Guard,15,Tax0,0.25,0.3515954262763439,-0.5189723810286861,0.8996411377399116,0.911176162479867,0.6774838876385398,-0.3535083500683762,-0.3416579757660053,601,3.0,6.117117117117117,3.298198198198198,118.81055592624419,3996
V3_B2_MA200Guard,15,TaxB,0.0,0.3515954262763439,-0.5189723810286861,0.8996411377399116,0.911176162479867,0.6774838876385398,-0.3535083500683762,-0.3416579757660053,601,3.0,6.117117117117117,3.298198198198198,118.81055592624419,3996
V3_B2_MA200Guard,15,TaxB,0.1,0.3144041430129578,-0.5212100960550212,0.8374000390859185,0.824228649430482,0.6032195949246693,-0.3535083500683762,-0.3416579757660052,610,3.0,6.117117117117117,3.298198198198198,76.33108489754011,3996
V3_B2_MA200Guard,15,TaxB,0.2,0.27822582462566436,-0.5234374915222895,0.7751180664459749,0.7292338644290645,0.5315359123713375,-0.3535083500683762,-0.3416579757660052,622,4.0,6.117117117117117,3.298198198198198,49.03337033045928,3996
V3_B2_MA200Guard,15,TaxB,0.25,0.26050796512096785,-0.5245473341716138,0.7439632158347503,0.6828996986728106,0.4966338558032565,-0.3535083500683762,-0.3416579757660052,622,4.0,6.117117117117117,3.298198198198198,39.29758416422255,3996
V3_B2_MA200Guard,20,Tax0,0.0,0.3493617333226935,-0.521553484763277,0.8959313139399248,0.9055876836967535,0.6698483348860415,-0.3568502839437977,-0.3425806682385425,601,3.0,6.117117117117117,3.298198198198198,115.73493358469182,3996
V3_B2_MA200Guard,20,Tax0,0.1,0.3493617333226935,-0.521553484763277,0.8959313139399248,0.9055876836967535,0.6698483348860415,-0.3568502839437977,-0.3425806682385425,601,3.0,6.117117117117117,3.298198198198198,115.73493358469182,3996
V3_B2_MA200Guard,20,Tax0,0.2,0.3493617333226935,-0.521553484763277,0.8959313139399248,0.9055876836967535,0.6698483348860415,-0.3568502839437977,-0.3425806682385425,601,3.0,6.117117117117117,3.298198198198198,115.73493358469182,3996
V3_B2_MA200Guard,20,Tax0,0.25,0.3493617333226935,-0.521553484763277,0.8959313139399248,0.9055876836967535,0.6698483348860415,-0.3568502839437977,-0.3425806682385425,601,3.0,6.117117117117117,3.298198198198198,115.73493358469182,3996
V3_B2_MA200Guard,20,TaxB,0.0,0.3493617333226935,-0.521553484763277,0.8959313139399248,0.9055876836967535,0.6698483348860415,-0.3568502839437977,-0.3425806682385425,601,3.0,6.117117117117117,3.298198198198198,115.73493358469182,3996
V3_B2_MA200Guard,20,TaxB,0.1,0.3123260047251768,-0.5237530663803864,0.8338521856124375,0.8189151092552108,0.5963230093976073,-0.3568502839437977,-0.3425806682385427,621,3.0,6.117117117117117,3.298198198198198,74.4397064076609,3996
V3_B2_MA200Guard,20,TaxB,0.2,0.2762964285688039,-0.5259426233719882,0.771732351706197,0.7243574915327904,0.5253356854734043,-0.3568502839437977,-0.34258066823854283,622,3.5,6.117117117117117,3.298198198198198,47.87281077337494,3996
V3_B2_MA200Guard,20,TaxB,0.25,0.25865046505394584,-0.5270336567936853,0.7406586264224323,0.678198683118991,0.4907665036565173,-0.3568502839437977,-0.34258066823854294,623,4.0,6.117117117117117,3.298198198198198,38.389290603841424,3996
V4_D1_Ensemble,0,Tax0,0.0,0.3777083629088547,-0.48588947834991514,0.939799944337964,1.015792130392729,0.7773544802648444,-0.3704059943122837,-0.3338198003069882,568,3.0,3.2162162162162162,2.8945945945945946,160.93003320855988,3996
V4_D1_Ensemble,0,Tax0,0.1,0.3777083629088547,-0.48588947834991514,0.939799944337964,1.015792130392729,0.7773544802648444,-0.3704059943122837,-0.3338198003069882,568,3.0,3.2162162162162162,2.8945945945945946,160.93003320855988,3996
