date,action,ticker,shares,price,fee,cash_delta,note,stop_price
2018-03-01,BUY,SPLG,4.6712223760899616e-05,31.81999969482422,0.0,-0.0014863829458163864,,
2018-03-16,BUY,SPLG,2.3413432196040096e-06,32.27000045776367,0.0,-7.555514676840326e-05,,
2018-03-29,BUY,TQQQ,0.2985497819756154,5.768332958221436,0.0,-1.7221345470397664,,
2018-03-29,SELL,BIL,0.018814973997675778,91.52999877929688,0.0,1.7221345470397664,,
2018-04-02,SELL_STOP,TQQQ,0.2985497819756154,5.479916310310364,0.0,1.636027819687778,,5.479916310310364
2018-04-02,SELL_STOP_COMPANION,SPLG,0.000547106737063585,30.200000762939453,0.0,0.01652262387672958,,
2018-04-03,BUY,BIL,0.018072510930032443,91.44000244140624,0.0,-1.6525504435645075,,
2018-04-09,SELL,BIL,0.018072510930032443,91.47000122070312,0.0,1.6530925968312382,,
2018-04-09,BUY,TQQQ,0.2897197672864442,5.705832958221436,0.0,-1.6530925968312382,,
2018-10-11,SELL,TQQQ,0.2897197672864442,6.87624979019165,0.0,1.992185489017786,,
2018-10-11,BUY,BIL,0.021772519005658863,91.5,0.0,-1.992185489017786,,
2018-10-18,SELL_STOP,TQQQ,0.2654463659598115,7.132125163078308,0.0,1.8931967061096648,,7.132125163078308
2018-10-18,BUY,TQQQ,0.2654463659598115,7.507500171661377,0.0,-1.9928386380101737,,
2018-10-18,SELL,BIL,0.021772519005658863,91.52999877929688,0.0,1.9928386380101737,,
2018-10-19,BUY,BIL,0.020683893055375917,91.52999877929688,0.0,-1.8931967061096648,,
2018-11-01,BUY,BIL,3.392285140349536e-05,91.45999908447266,0.0,-0.0031025839583063877,,
2018-12-03,BUY,BIL,3.556803943039266e-05,91.4499969482422,0.0,-0.0032526970973643676,,
2018-12-19,BUY,BIL,3.633375044939195e-05,91.38999938964844,0.0,-0.003320541431393569,,
2019-02-01,BUY,BIL,4.0688382953786616e-05,91.45999908447266,0.0,-0.0037213594677019965,,
2019-03-01,BUY,BIL,3.8722462019746124e-05,91.4499969482422,0.0,-0.003541169033534208,,
2019-03-20,SELL,BIL,0.020869128541632732,91.54000091552734,0.0,1.9103600458073182,,
2019-03-20,BUY,TQQQ,0.2712135009813222,7.043749809265137,0.0,-1.9103600458073182,,
2019-03-26,BUY,BIL,0.020988168954647723,91.56999969482422,0.0,-1.9218866247720112,,
2019-03-26,SELL,TQQQ,0.2712135009813222,7.086249828338623,0.0,1.9218866247720112,,
2019-04-01,BUY,TQQQ,0.26382740814066313,7.287499904632568,0.0,-1.9226422116645403,,
2019-04-01,SELL,BIL,0.020988168954647723,91.43000030517578,0.0,1.9189482939285223,,
2019-05-13,SELL_STOP,TQQQ,0.26382740814066313,6.92312490940094,0.0,1.8265101010813132,,6.92312490940094
2019-05-14,BUY,BIL,0.01995967717673306,91.51000213623048,0.0,-1.8265101010813132,,
2019-05-21,SELL,BIL,0.01995967717673306,91.5500030517578,0.0,1.8273085064420123,,
2019-05-21,BUY,TQQQ,0.25525524593486154,7.158750057220459,0.0,-1.8273085064420123,,
2019-05-23,SELL_STOP,TQQQ,0.25525524593486154,6.800812554359434,0.0,1.7359430811199115,,6.800812554359434
2019-05-24,BUY,BIL,0.01895548205297431,91.58000183105467,0.0,-1.7359430811199115,,
2019-06-03,BUY,BIL,3.648474138505472e-05,91.44000244140624,0.0,-0.0033361648413234787,,
2019-07-01,BUY,SPLG,8.966164385301544e-05,34.95000076293945,0.0,-0.0031336745210692953,,
2019-08-01,BUY,SPLG,8.398730148938453e-05,35.04999923706055,0.0,-0.002943754853125702,,
2019-08-06,BUY,TQQQ,0.2450472706222172,7.090000152587891,0.0,-1.737385186102766,,
2019-08-06,SELL,BIL,0.018991966794359365,91.4800033569336,0.0,1.737385186102766,,
2019-09-20,BUY,SPLG,8.373256521430308e-07,35.27000045776367,0.0,-2.9532476134381963e-05,,
2019-12-20,BUY,SPLG,8.708046349232727e-07,37.650001525878906,0.0,-3.278579583360364e-05,,
2019-12-24,BUY,SPLG,2.5140539109151872e-05,37.77000045776367,0.0,-0.0009495581736610917,,
2020-03-10,SELL,TQQQ,0.2450472706222172,8.4975004196167,0.0,2.0822892849382177,,
2020-03-10,SELL,SPLG,0.00020049761473861814,33.470001220703125,0.0,0.006710655410049614,,
2020-03-10,BUY,BIL,0.022813147835648005,91.56999969482422,0.0,-2.0889999403482675,,
2020-04-01,BUY,BIL,1.2953523299138313e-05,91.58000183105467,0.0,-0.0011862836874536962,,
2020-05-01,BUY,BIL,3.490610686758729e-06,91.5500030517578,0.0,-0.00031956541902526,,
2020-12-01,BUY,SPLG,1.5935034117810538e-06,42.97999954223633,0.0,-6.848877590890172e-05,,
2020-12-21,BUY,SPLG,6.72653758029102e-09,42.91999816894531,0.0,-2.887029806294324e-07,,
2021-03-22,BUY,SPLG,6.0463914092326995e-09,45.84999847412109,0.0,-2.772270368872581e-07,,
2021-06-21,BUY,SPLG,5.475826057979539e-09,49.0099983215332,0.0,-2.6837022591058496e-07,,
2021-09-20,BUY,SPLG,4.862108589139043e-09,51.13999938964844,0.0,-2.486482302809751e-07,,
2021-12-20,BUY,SPLG,6.145827055775988e-09,53.43000030517578,0.0,-3.2837154146566864e-07,,
2022-01-19,SELL,SPLG,1.622760102473472e-06,53.869998931884766,0.0,8.741808498695115e-05,,
2022-01-19,SELL,BIL,0.022829591969633904,91.43000030517578,0.0,2.0873096007506664,,
2022-01-19,BUY,SGOV,0.020869796929555845,100.0199966430664,0.0,-2.087397018835653,,
2022-02-01,BUY,SGOV,4.173291707634274e-07,100.01599884033205,0.0,-4.173959385911169e-05,,
2022-03-01,BUY,SGOV,1.6691164261452413e-06,100.02999877929688,0.0,-0.00016696171406981286,,
2022-04-01,BUY,SGOV,3.755812309681909e-06,100.02999877929688,0.0,-0.00037569390075274954,,
2022-05-02,BUY,SGOV,5.217344657156752e-06,100.02999877929688,0.0,-0.0005218909796865609,,
2022-06-01,BUY,SGOV,8.556872480793613e-06,100.0500030517578,0.0,-0.0008561151178169033,,
2022-07-01,BUY,SGOV,1.4406491563741166e-05,100.0500030517578,0.0,-0.0014413695249174267,,
2022-08-01,BUY,SGOV,2.424115902775465e-05,100.02999877929688,0.0,-0.002424843107955039,,
2022-09-01,BUY,SGOV,3.513806059422863e-05,100.05999755859376,0.0,-0.0035159142572722363,,
2022-10-03,BUY,SGOV,3.287277437965089e-05,100.12000274658205,0.0,-0.003291222261178419,,
2022-11-01,BUY,SGOV,5.056008426210701e-05,100.08000183105467,0.0,-0.005060053325529948,,
2022-12-01,BUY,SGOV,5.9484640089309195e-05,100.12999725341795,0.0,-0.005956196848763085,,
2022-12-15,BUY,SGOV,6.903771180026574e-05,99.97000122070312,0.0,-0.006901700132947116,,
2023-02-01,BUY,SGOV,8.334676255490649e-05,100.0999984741211,0.0,-0.008343010804569072,,
2023-02-16,BUY,TQQQ,0.17174609187606013,12.414999961853027,0.0,-2.132227724089693,,
2023-02-16,SELL,SGOV,0.021258501088872346,100.3000030517578,0.0,2.132227724089693,,
2023-02-17,SELL,TQQQ,0.17174609187606013,12.015000343322754,0.0,2.0635293528552037,,
2023-02-17,BUY,SGOV,0.02056947128321878,100.31999969482422,0.0,-2.0635293528552037,,
2023-03-01,BUY,SGOV,5.709178122662215e-05,100.16000366210938,0.0,-0.005718313016734822,,
2023-03-20,SELL,SGOV,0.020626563064445404,100.4499969482422,0.0,2.0719381968762662,,
2023-03-20,BUY,TQQQ,0.16962244543544291,12.21500015258789,0.0,-2.0719381968762662,,
2023-03-22,BUY,SPLG,0.00027130909731823736,46.88999938964844,0.0,-0.012721683407658219,,
2023-06-20,BUY,SPLG,1.0682815425921315e-06,51.43000030517578,0.0,-5.494172006152697e-05,,
2023-06-21,BUY,SPLG,0.00021169728483400708,51.27999877929688,0.0,-0.010855836507868347,,
2023-09-18,BUY,SPLG,1.841073072969456e-06,52.08000183105469,0.0,-9.588308901135475e-05,,
2023-09-20,BUY,SPLG,0.00022579506156837457,52.209999084472656,0.0,-0.011788759957763283,,
2023-10-27,SELL,TQQQ,0.16962244543544291,15.789999961853027,0.0,2.678338406955061,,
2023-10-27,SELL,SPLG,0.0007117107983361806,48.720001220703125,0.0,0.03467455096372632,,
2023-10-27,BUY,SGOV,0.0269495679672685,100.66999816894533,0.0,-2.7130129579187874,,
2023-11-01,BUY,SGOV,0.00011474762030019755,100.28500366210938,0.0,-0.011507465522023648,,
2023-12-01,BUY,SPLG,0.000223642821652531,53.61000061035156,0.0,-0.011989491805292933,,
2023-12-14,BUY,SPLG,0.00022155925128925248,55.58000183105469,0.0,-0.012314263592343758,,
2023-12-18,BUY,SPLG,1.7778344033055984e-06,55.38999938964844,0.0,-9.847424651399309e-05,,
2024-02-01,BUY,SPLG,0.00021746414980888533,57.0,0.0,-0.012395456539106463,,
2024-03-01,BUY,SPLG,0.00018531010676303637,59.880001068115234,0.0,-0.011096369390903166,,
2024-03-18,BUY,SPLG,2.844659213508672e-06,60.45000076293945,0.0,-0.00017195965162690197,,
2024-04-01,BUY,SPLG,0.0001976459303069546,61.619998931884766,0.0,-0.012178942014405914,,
2024-05-01,BUY,SPLG,0.0001963975442757386,58.97999954223633,0.0,-0.011583527071479402,,
2024-06-03,BUY,SPLG,0.00019135945598790992,62.22999954223633,0.0,-0.011908298858530227,,
2024-06-24,BUY,SPLG,5.004884279244625e-06,64.0199966430664,0.0,-0.0003204126747561767,,
2024-07-01,BUY,SPLG,0.00018515248374578435,64.16999816894531,0.0,-0.011881234542942659,,
2024-08-01,BUY,SPLG,0.00018861746094105567,65.0,0.0,-0.01226013496116862,,
2024-08-05,SELL,SGOV,0.027064315587568697,100.3499984741211,0.0,2.7159040279156503,,
2024-08-05,BUY,TQQQ,0.11011165323760069,24.665000915527344,0.0,-2.7159040279156503,,
2024-08-06,BUY,SGOV,0.030800343565480694,100.36000061035156,0.0,-3.0911224990306803,,
2024-08-06,SELL,SPLG,0.001816776582667207,61.06999969482422,0.0,0.11095054534905012,,
2024-08-06,SELL,TQQQ,0.11011165323760069,27.065000534057617,0.0,2.98017195368163,,
2024-08-12,SELL,SGOV,0.030800343565480694,100.45999908447266,0.0,3.094202486389634,,
2024-08-12,BUY,TQQQ,0.10448092217806582,29.614999771118164,0.0,-3.094202486389634,,
2024-09-09,SELL,TQQQ,0.10448092217806582,29.28499984741211,0.0,3.059723790042134,,
2024-09-09,BUY,SGOV,0.03046623300552203,100.43000030517578,0.0,-3.059723790042134,,
2024-10-01,BUY,SPLG,0.00019422506723650612,67.44999694824219,0.0,-0.013100480192374472,,
2024-11-01,BUY,SPLG,0.0001881471320159393,67.19999694824219,0.0,-0.012643486697291642,,
2024-12-02,BUY,SPLG,0.00016233768931146148,70.94000244140625,0.0,-0.011516236076087327,,
2024-12-18,BUY,SPLG,0.0001594911211291418,71.05999755859375,0.0,-0.011333438678054196,,
2024-12-27,BUY,SPLG,2.3903962202627533e-06,70.29000091552734,0.0,-0.00016802095251074203,,
