date,exposure_suggested,spy_ret_1d,overlay_ret_1d,overlay_equity
2021-12-29,0.7776884674,0.0012791265,0.0009916797,1.2269390497
2021-12-30,0.7781374813,-0.0027700953,-0.0021542711,1.2242958903
2021-12-31,0.7667895624,-0.0025290655,-0.0019679607,1.2218865241
2022-01-03,0.7802566906,0.0058124011,0.0044568885,1.2273323361
2022-01-04,0.7719104197,-0.0003422531,-0.0002670453,1.2270045828
2022-01-05,0.7619027903,-0.0191968783,-0.0148182704,1.2088224972
2022-01-06,0.7615197038,-0.0009442828,-0.0007194517,1.2079528077
2022-01-07,0.7610642700,-0.0039598816,-0.0030155278,1.2043101924
2022-01-10,0.7624872531,-0.0012502530,-0.0009515229,1.2031642637
2022-01-11,0.7719272183,0.0091117045,0.0069475585,1.2115233179
2022-01-12,0.7695831333,0.0027130685,0.0020942914,1.2140606007
2022-01-13,0.7489283175,-0.0137800751,-0.0106049134,1.2011855933
2022-01-14,0.7478334642,0.0004173962,0.0003125998,1.2015610837
2022-01-18,0.7339442006,-0.0177217873,-0.0132529456,1.1856368600
2022-01-19,0.7206097440,-0.0103753636,-0.0076149380,1.1766083088
2022-01-20,0.7085642567,-0.0110827038,-0.0079863044,1.1672115567
2022-01-21,0.6996549251,-0.0196244032,-0.0139051507,1.1509813042
2022-01-24,0.7058970395,0.0042379574,0.0029651077,1.1543940877
2022-01-25,0.6963733834,-0.0122027065,-0.0086138544,1.1444503052
2022-01-26,0.6964192460,-0.0025208665,-0.0017554643,1.1424412635
2022-01-27,0.6961672839,-0.0049311358,-0.0034341379,1.1385179627
2022-01-28,0.7076200936,0.0248507738,0.0173002957,1.1582146601
2022-01-31,0.7192864305,0.0179946452,0.0127333725,1.1729626389
2022-02-01,0.7228332057,0.0067556707,0.0048592623,1.1786623719
2022-02-02,0.7283641561,0.0097253621,0.0070298146,1.1869481499
2022-02-03,0.7113782641,-0.0235120494,-0.0171253340,1.1666212664
2022-02-04,0.7068848180,0.0047170697,0.0033556208,1.1705360051
2022-02-07,0.7027456584,-0.0032187087,-0.0022752563,1.1678727357
2022-02-08,0.7067479162,0.0082321017,0.0057850737,1.1746289655
2022-02-09,0.7185462168,0.0146331146,0.0103419233,1.1867768882
2022-02-10,0.7149088556,-0.0179749080,-0.0129158021,1.1714487127
2022-02-11,0.7038831147,-0.0197128102,-0.0140928626,1.1549396470
2022-02-14,0.6933643798,-0.0032575460,-0.0022929316,1.1522914494
2022-02-15,0.7045451067,0.0161070076,0.0111680254,1.1651602695
2022-02-16,0.6978893826,0.0011253827,0.0007928829,1.1660841051
