date,AAPL,AMZN,GOOG,JNJ,JPM,META,MSFT,NVDA,TSLA,XOM
2022-05-03,0.11183946778982312,0.06854908722703952,0.08689682676476405,0.10436284901873641,0.0741786225876538,0.06201481459766115,0.10150949497174702,0.11526668508302788,0.11421510297372832,0.16116704898581874
2022-06-01,0.11003670477331741,0.06978778712453314,0.08522510978026615,0.09823707912758892,0.07557627379234588,0.05965520538626971,0.09921702837344268,0.10456912327243435,0.11130922309241749,0.18638646527738417
2022-07-01,0.1079438440244242,0.0733452831819583,0.09467751659445087,0.11943851913859188,0.08310672014027246,0.06289429389842592,0.10287554437252243,0.08444357312077772,0.1065340462645815,0.16474065926399478
2022-08-02,0.10563888487771032,0.07752498234846468,0.08162152919912402,0.0974039464206352,0.0752837670519327,0.0538412000118261,0.09303045123599961,0.0874933242588204,0.12605569983108378,0.20210621476440319
2022-09-01,0.10519618545099368,0.07709627245434081,0.07864376221233053,0.09664732340095533,0.07716310515914644,0.05705549462325968,0.08893901970454363,0.07290795006965119,0.11425106999326194,0.23209981693151666
2022-10-03,0.10869125466358219,0.0809863882512115,0.08374723678824059,0.11494718702326115,0.07848889084468251,0.06070887469908711,0.09362907066425054,0.07316957547570538,0.11357390805680302,0.1920576135331761
2022-11-01,0.11380147376951924,0.074632911133746,0.07697639434427123,0.12166954783873589,0.08730312026633825,0.05421631551445312,0.08234553920998075,0.06895027983950601,0.07502596683111974,0.24507845125232977
2022-12-01,0.09540936878255481,0.06722283494877064,0.07901512081221901,0.12508099213830037,0.09509997777358754,0.055782428663896405,0.08447641856172396,0.06509999379439237,0.06456723161956934,0.2682456329049856
2023-01-04,0.08722611002773586,0.0691571840788847,0.07715517054220239,0.12057512777646452,0.10009401595277057,0.05975878314448253,0.08582251699353305,0.06870940934563942,0.059276859242054905,0.27222482289623207
2023-02-01,0.09421691545142358,0.0818374289076538,0.08573110767663585,0.10871048174013442,0.10787977753989517,0.06607501479875676,0.09179686371952833,0.09127462513360936,0.07152226364294323,0.2009555213894197
2023-03-01,0.09771342708255519,0.07351743285541687,0.0777367077692512,0.10287831196489813,0.1122238407669882,0.09118403669437448,0.09246744665594522,0.10321775749753295,0.08087408214805182,0.16818695656498597
2023-04-03,0.1021572558596765,0.07444509290284954,0.08318707847180538,0.09637025989454769,0.10527256694089579,0.10246406405449685,0.10155976435013747,0.10943335522969877,0.07038177388349764,0.1547287884123944
2023-05-02,0.0971378377775029,0.07684531207595362,0.08432198423434797,0.08295859276500187,0.10693265703057492,0.10908241472153203,0.10061856754164723,0.14706144101514632,0.057940300269309776,0.1371008925689833
2023-06-01,0.09649883889628356,0.0794098807656437,0.08591579954858744,0.06987168949344079,0.08278105173599344,0.11427613716502322,0.09860414669016207,0.22133367738648915,0.06526004547599923,0.08604873284237717
2023-07-03,0.08375185466306206,0.06858258101056727,0.06074596301914652,0.051699084628066785,0.07483424926116093,0.11914959353520459,0.07666242141700162,0.32816007426821464,0.06450949840580879,0.07190467979176676
2023-08-01,0.07455841008122088,0.059508475914141316,0.0691814906972028,0.05844973431333507,0.08797561607838286,0.16370135958979806,0.07396889585225667,0.2901573578281913,0.05435370720852186,0.06814495243694917
2023-09-01,0.05728795036661355,0.05114746882688163,0.06060688801998016,0.04721095176867895,0.0630677434411129,0.1058586242386802,0.061049038709387375,0.45422434706213954,0.04392326467950826,0.05562372288701755
2023-10-03,0.04778560922278799,0.04232870767958702,0.05415252618586571,0.035876463270980916,0.055739086406829896,0.12560504711846882,0.05401893371128055,0.49578228322535967,0.0352987039236117,0.05341263925522761
2023-11-01,0.04306245300610499,0.0514996100302133,0.05277615455956623,0.03313385590080999,0.04239699960164861,0.3564783016038837,0.06113004567341722,0.2887748295334812,0.033954883860930415,0.03679286622994439
2023-12-01,0.06091935038765281,0.07613044400816091,0.06275565083618845,0.039967470636946695,0.05186948516682287,0.26754815287817674,0.07499763418576316,0.26610404169248775,0.05752766788494541,0.04218010232285506
2024-01-03,0.052273767430139985,0.07189592285456399,0.05766853029848088,0.028608425931446167,0.04188243008916321,0.22312740332408249,0.05730084928246637,0.34952652262520856,0.08855471589451377,0.029161432269934694
2024-02-01,0.05488482736531849,0.0683755515675287,0.06280058538013973,0.04014347059701166,0.05276790283910371,0.20831162499443875,0.07660840834014784,0.3545154593845861,0.044761338260752216,0.036830831270972676
2024-03-01,0.04371327998512834,0.08316049407403728,0.05991266728536345,0.036522136054221915,0.0466596041509789,0.20990186758594337,0.06782593322650267,0.38532561220607925,0.03399856234224953,0.03297984308949527
2024-04-02,0.04331038541481432,0.0872950230995704,0.06582414208565135,0.042246810323864806,0.0708136684895833,0.15051584165823112,0.06630351384515355,0.3942180681795853,0.03552697534586878,0.04394557155767718
2024-05-01,0.048238079490544455,0.09243555826817419,0.08050367622167576,0.04253041674141732,0.07038397047209238,0.10531393979495844,0.06308385205251922,0.3960958681185087,0.05364616268569376,0.04776847615441569
2024-06-03,0.05775202311160531,0.08385027033728998,0.07950652422333875,0.04998203893073861,0.08639088006591908,0.11321150038497445,0.0693940469802815,0.352281650099476,0.04647955900373688,0.06115150686263938
2024-07-02,0.057798525658880266,0.08543780739953119,0.08837588580958129,0.04691749968326914,0.07794722680972335,0.11243125860590157,0.07282753562301952,0.3601922308046981,0.04131750374263937,0.05675452586275627
2024-08-01,0.07272356125307951,0.0945289499350927,0.08571232554388342,0.059884163915878016,0.08978063365402617,0.10360202580207858,0.08188547030477333,0.28576521472039507,0.05558821814257175,0.07052943672822141
2024-09-04,0.07798105250947351,0.08348706488125035,0.07620435133155569,0.06388986290120963,0.10643780714544501,0.13337228324547148,0.08256300167449965,0.2574023516428464,0.05250632525113172,0.06615589941711665
2024-10-01,0.07628003271801369,0.08412749840378106,0.0690330223988329,0.05498534883248519,0.08314278784319303,0.13075844575630863,0.07667459597000519,0.31709174447253785,0.055265729313348666,0.05264079429149373
2024-11-01,0.06091171882856012,0.06538659689833466,0.06394181778964064,0.04734308237421161,0.07948904277280323,0.10602969473062548,0.05408776577480411,0.4183271628810366,0.05591241099768055,0.04857070695230293
2024-12-03,0.06454390364754022,0.07631098483483968,0.06568453255340612,0.05010160403691803,0.09108004542548873,0.10641164157718982,0.056696922904303206,0.3537620720254389,0.077437985831691,0.05797030716318429
